held_out,train_dataset,family,acc.true,acc.pred,f1.true,f1.pred,auroc.true,auroc.pred,brier.true,brier.pred,meanconf.true,meanconf.pred,nll.true,nll.pred
imdb,imdb,sentiment,0.9185000061988831,0.9038053750991821,0.9174173474311829,0.9026199579238892,0.9746042490005493,0.9765743017196655,0.05972444638609886,0.07108291238546371,0.9222575426101685,0.927834689617157,0.20399124920368195,0.25452476739883423
imdb,imdb,sentiment,0.8579999804496765,0.8798184394836426,0.8492439389228821,0.8772180080413818,0.9702886939048767,0.9779874086380005,0.0989745631814003,0.09053267538547516,0.906646728515625,0.9258995056152344,0.3105875849723816,0.3344247341156006
imdb,imdb,sentiment,0.8650000095367432,0.8964530825614929,0.8574596047401428,0.8924242854118347,0.9651718735694885,0.9777765274047852,0.1022518202662468,0.0822124108672142,0.924037754535675,0.9360406398773193,0.32994338870048523,0.2966731786727905
imdb,imdb,sentiment,0.8989999890327454,0.910851001739502,0.8955790400505066,0.9042096734046936,0.9717934727668762,0.9804539084434509,0.08114325255155563,0.0696403831243515,0.9672338962554932,0.9390033483505249,0.32545578479766846,0.27512964606285095
imdb,imdb,sentiment,0.7799999713897705,0.8655403852462769,0.7529308795928955,0.8557871580123901,0.9674186110496521,0.9667212963104248,0.1499701291322708,0.10114870965480804,0.8920841217041016,0.8824743628501892,0.44929495453834534,0.3411514163017273
imdb,imdb,sentiment,0.9004999995231628,0.9014917612075806,0.897187352180481,0.9025964736938477,0.9743306040763855,0.9806451201438904,0.07436688244342804,0.07491783052682877,0.9339554309844971,0.9430734515190125,0.2500915229320526,0.28793296217918396
imdb,imdb,sentiment,0.9120000004768372,0.9003786444664001,0.9092198610305786,0.8962799906730652,0.9754390120506287,0.9760141968727112,0.07561692595481873,0.0773024633526802,0.9722181558609009,0.9588289856910706,0.3140202462673187,0.2821704149246216
imdb,imdb,sentiment,0.906000018119812,0.906777024269104,0.9035303592681885,0.9063514471054077,0.9707382321357727,0.979013204574585,0.07413823157548904,0.07220238447189331,0.9477137923240662,0.9205004572868347,0.2557372450828552,0.2671177387237549
imdb,imdb,sentiment,0.8295000195503235,0.73927903175354,0.8184698224067688,0.6692279577255249,0.9435524344444275,0.9056875705718994,0.22819402813911438,0.19176149368286133,0.5276756882667542,0.5415557026863098,0.6494194865226746,0.5651079416275024
imdb,imdb,sentiment,0.7894999980926514,0.7653291821479797,0.7687574625015259,0.7201895713806152,0.9401430487632751,0.9371974468231201,0.20492495596408844,0.18012389540672302,0.5650829076766968,0.6285437345504761,0.6016390919685364,0.5617690086364746
imdb,imdb,sentiment,0.6150000095367432,0.7280717492103577,0.4880291819572449,0.666485071182251,0.9402565956115723,0.9042654037475586,0.21710985898971558,0.18476837873458862,0.5917748808860779,0.6786675453186035,0.6256051063537598,0.5917086601257324
imdb,imdb,sentiment,0.5814999938011169,0.6804516911506653,0.41499438881874084,0.6033108830451965,0.9010986685752869,0.8451746702194214,0.22851653397083282,0.23246529698371887,0.5717907547950745,0.5104870200157166,0.6494959592819214,0.6296170353889465
imdb,imdb,sentiment,0.7699999809265137,0.699554979801178,0.7626477479934692,0.6386017203330994,0.8401135802268982,0.8663262128829956,0.23298317193984985,0.22172094881534576,0.5250861644744873,0.5842036008834839,0.6590172052383423,0.6633206009864807
imdb,imdb,sentiment,0.8654999732971191,0.7160282731056213,0.8597488403320312,0.6501742601394653,0.9535287022590637,0.8809830546379089,0.2143757939338684,0.19903449714183807,0.5434434413909912,0.554207444190979,0.6215108633041382,0.5782217383384705
imdb,imdb,sentiment,0.8495000004768372,0.7533217072486877,0.84345543384552,0.7057662010192871,0.9352167844772339,0.893500566482544,0.22404509782791138,0.1877392679452896,0.5317626595497131,0.5484238862991333,0.6410541534423828,0.5611860156059265
imdb,imdb,sentiment,0.7649999856948853,0.7022035717964172,0.7360852360725403,0.6255024075508118,0.9279581308364868,0.8894543051719666,0.21536466479301453,0.20799000561237335,0.5526340007781982,0.5960978269577026,0.6232474446296692,0.6327816843986511
