adapter_idx,pool,source,label,label_noise,shards_total,epochs,accuracy,f1_macro,nll,brier,auroc,mean_confidence,adapter_qname,error
1233,train,new,train-sst2-i1233,0.0,32,2,0.922,0.9208018105924531,0.26756406878316163,0.06496518602559659,0.9679542929661525,0.9682722410664174,glad/sft-model-9c752cc3:v0,
1234,train,new,train-sst2-i1234,0.0,16,2,0.9425,0.9419595124699986,0.18300036610636466,0.04721762181257225,0.9838932678116739,0.969146938813135,glad/sft-model-0dae873d:v0,
1235,train,new,train-sst2-i1235,0.0,16,2,0.9355,0.934906329451177,0.20238621688073996,0.05196604579758723,0.9824599815112149,0.9750504303973953,glad/sft-model-cdd35e0a:v0,
1236,train,new,train-sst2-i1236,0.0,16,2,0.93,0.9294283697953423,0.18432031033995794,0.052901327738182596,0.9827331573655103,0.9596610447526214,glad/sft-model-ef022489:v0,
1237,train,new,train-sst2-i1237,0.0,16,2,0.929,0.9279450433801284,0.20004985211855442,0.05637636842626604,0.9788068246322515,0.9586525772557906,glad/sft-model-0ad5644c:v0,
1238,train,new,train-sst2-i1238,0.0,16,2,0.9335,0.9325036012881154,0.2174012708341924,0.053389108331700644,0.9778920149532103,0.9623117404798338,glad/sft-model-b9191554:v0,
1239,train,new,train-sst2-i1239,0.0,16,2,0.936,0.934984126984127,0.18576508737798672,0.051856221742224304,0.9785630443244296,0.9495027006264185,glad/sft-model-3998da26:v0,
1240,train,new,train-sst2-i1240,0.0,16,2,0.9355,0.9349188086913156,0.18205304823318177,0.0505101005156257,0.9806070484438606,0.9569847534199092,glad/sft-model-9b68900c:v0,
1241,train,new,train-sst2-i1241,0.0,16,2,0.937,0.9360161848583826,0.17525333408728477,0.04964878477250819,0.9836809103293924,0.9587731092956053,glad/sft-model-2e0c68e1:v0,
1242,train,new,train-sst2-i1242,0.0,16,2,0.929,0.9281463062647313,0.23356461383911767,0.05870945415735366,0.9764191967109423,0.971754604987485,glad/sft-model-f465664e:v0,
1243,train,new,train-sst2-i1243,0.0,16,2,0.933,0.9321020496060399,0.23893848828181824,0.05579548682995727,0.9804382774615221,0.9772756057061006,glad/sft-model-c3f83f63:v0,
1244,train,new,train-sst2-i1244,0.0,16,2,0.933,0.9323636091989529,0.22210991713537817,0.05490642187298626,0.979105341474886,0.9766120968044113,glad/sft-model-19031bdf:v0,
1245,train,new,train-sst2-i1245,0.0,16,2,0.932,0.9312708524738955,0.18998149440604528,0.05339835861316536,0.9797312638868615,0.9601775657353944,glad/sft-model-dc963b34:v0,
1246,train,new,train-sst2-i1246,0.0,16,2,0.934,0.9332783385093167,0.22615479783034736,0.05515357308746761,0.9787115425160966,0.9771531525935873,glad/sft-model-11ecef34:v0,
1247,train,new,train-sst2-i1247,0.0,16,2,0.9285,0.9277408270643448,0.2026035986832644,0.05587763025695034,0.979530563259216,0.9626512623268912,glad/sft-model-8c1057ce:v0,
